Seq | Data_Center_Code | Name | Description
90000066 | 20 | Alkalinity_DOE | Oceanic carbon dioxide quality control:  DOE handbook of Methods; SOP 3 - determination of total alkalinity in sea water
90000122 | 30 | Alkalinity_PICES2007SOP3b | Dickson, AG, CL Sabine, JR Christian (eds) 2007. Guide to best practices for ocean CO2 measurements. PICES Special Publications 3, 191 pp.
90000045 | 30 | Ammonia / Alpkem  | EPA, 1984, Methods for chemical analysis of water and wastewater. EPA-600 / 4-79-020, « Nitrogen, Ammonia, » Method 350.1 (Colorimetric, Automated Phenate) STORET No. Total 00610, Dissolved 00608.
90000130 | 30 | Ammonia / Spectrophotometer | Aminot,Chaussepied (1983) Manuel des analyses chimiques en milieu marin. Centre National pour l'exploitation des océans, Brest, 395 pp
90000044 | 30 | Ammonia / Technicon | Van Slyke, DD and AJ Hillem, 1933, Ammonium in water and seawater, Biochem 102, p. 499
90000053 | 20 | ATP_Determination | Holm-Hansen & Booth, 1966, L&O 11:510-519
90000005 | 90 | Autosal salinometer | Autosal salinometer, calibrated against standard seawater.
90000038 | 20 | BIO_DO_1977 | Levy, E.M, C.C. Cunningham, C.D. Conrad and J.D. Moffat. 1977. A titration apparatus for the determination of dissolved Oxygen in seawater. J.Fish. Res. Board. Can. 34:2218-2220.
90000079 | 20 | BIO_DO_WOCE91 | Culberson, C.H., Knapp, G., Stalcup, M., Williams, R.T., and Zemlyak, F., ¿A comparison of methods for the determination of dissolved oxygen in seawater,¿ Report WHPO 91-2, WOCE Hydrographic Programme Office (Aug 1991)
90000036 | 20 | BIO_Technicon | Strain,P.M. and P.M.Clement. 1996. Nutrient and dissolved Oxygen concentrations in the LeTange Inlet, New Brunswick, in the Summer of 1994. Can.Data Rep. Fish. Aquat. Sci. 1004
90000063 | 20 | C13 method | C13 method
90000087 | 20 | C14_Platt_Irwin_1971 | Platt, T and B. Irwin (1971) Phytoplankton production and nutrients in Bedford Basin, 1969-70.  Fish.Res.Bd.Canada Tech.Rept.No.247
90000110 | 20 | Calanus_EggProduction | Head et al
90000080 | 20 | CalorificMeasurement1 | Parr bomb calorimeter (see Brawn et al 1968. JFRB Caloric content of the standing crop and epibenthic invertebrates of st. Margaret's Bay, NS.
90000048 | 20 | Calorimetry | Bomb Calorimeter
90000043 | 30 | CHLA/PHAEO_LG | Holm-Hansen, O, CJ Lorenzen, RW Holmes, JD Strickland (1965) Fluorometric determination of chlorophyll. J Cons Cons Int Explor Mer, 30 : 3-15; Sample filtered so the pigments are from cell population >5um
90000032 | 30 | CHN determination | Ehrhardt, M (1983) Determination of particulate organic carbon and nitrogen, p. 268-275. In K Grasshoff, M Ehrhardt, K Kremling (eds), Methods of seawater analysis, 2nd revised and extended edition. Verlag Chemie GmbH, Weinheim. 419 pp
90000082 | 20 | Combustion_1 | sample heated to 600C for period of time
90000085 | 20 | CSAS 2008/044 | Harrison et al CSAS Res Doc 2008/044 Optical, chemical and biological oceanographic conditions in the Maritimes in 2007
90000109 | 20 | CTD CDOM sensor | CDOM sensor, part of the Sea-Bird CTD package
90000004 | 90 | CTD conductivity sensor | 
90000017 | 30 | CTD Fluorometer | Insitu fluorometer calbrated and part of the CTD package
90000018 | 30 | CTD Oxygen Sensor | Calibrated sensor as part of the CTD package
90000021 | 30 | CTD PAR meter | Photosynthically active radiation sensor attached to CTD package
90000068 | 30 | CTD pH sensor (calibrated) | pH sensor, part of the CTD package, calibrated with lab measures
90000069 | 30 | CTD pH sensor (not calibrated) | pH sensor, part of the CTD package, not calibrated with lab measures
90000003 | 90 | CTD pressure sensor | 
90000015 | 30 | CTD Temperature sensor | Temperature measured at depth using calibrated sensor as part of CTD package
90000020 | 30 | CTD transmissometer | 
90000077 | 20 | Deniges_1 | modification of the Deniges colorimetric method (Calanus Series JFRB vol 16 no4, 1959)
90000047 | 30 | Density / sigma-t | density (calculated from ctd pressure, temp, salinity)-1000
90000057 | 90 | DNA_analysis1 | Canadian Data Report of Fish and Aquatic Sciences #213 Phytoplankton Productivity Experiments and Nutrient Measurements in the Labrador Sea, Davis Strait
90000011 | 20 | Dry Oxidation for TOC | MacKinnon, M.D., 1978, Marine Chemistry 7:17-37
90000049 | 30 | DryWeight Biomass | Dry weight of a species obtained from a weight versus length regression

