"DATA_RETRIEVAL_SEQ"	"DATA_CENTER_CODE"	"PARAMETER_NAME"	"PARAMETER_DESCRIPTION"	"UNIT_SEQ"	"PLACES_BEFORE"	"PLACES_AFTER"	"MINIMUM_VALUE"	"MAXIMUM_VALUE"	"ORIGINALLY_ENTERED_BY"
90000040	90	"Fe - filtered"	"Fe - filtered"	90000019	6	2	0	30000	"P. Strain"
90000041	90	"Mn - filtered"	"Mn - filtered"	90000019	5	2	0	5000	"P. Strain"
90000042	90	"Co - filtered"	"Co - filtered"	90000019	3	3	0	30	"P. Strain"
90000043	90	"Ni - filtered"	"Ni - filtered"	90000019	3	2	0	250	"P. Strain"
90000044	90	"Cu - filtered"	"Cu - filtered"	90000019	4	2	0	250	"P. Strain"
90000045	90	"Zn - filtered"	"Zn - filtered"	90000019	4	2	0	500	"P. Strain"
90000046	90	"Cd - filtered"	"Cd - filtered"	90000019	2	3	0	10	"P. Strain"
90000047	90	"Al - filtered"	"Al - filtered"	90000019	6	2	0	50000	"P. Strain"
90000048	90	"Sulfate"	"Sulfate"	90000010	3	2	0	50	"P. Strain"
90000049	90	"Acidified calcium"	"Acidified calcium"	90000021	3	2	0	20	"P. Strain"
90000050	90	"Helium E-08"	"Helium E-08"	90000003	3	2			"P. Strain"
90000095	90	"BOD - 5 day"	"Bacterial oxygen demand, 5 day"	90000020	4	1	0	9999	"P. Strain"
90000096	90	"PP_PM"	"PRIMARY PRODUCTION:  PRODUCTION MAXIMUM"	90000040	5	5			"M. KENNEDY"
90000097	90	"PP_PS"	"PRIMARY PRODUCTION PS"	90000040	5	5			"M. KENNEDY"
90000098	90	"PP_BETA"	"PRIMARY PRODUCTION BETA"	90000025	5	5			"M. KENNEDY"
90000099	90	"PP_RB"	"PRIMARY PRODUCTION RB"	90000040	5	5			"M. KENNEDY"
90000100	90	"PP_IK"	"PRIMARY PRODUCTION IK"	90000039	5	5			"M. KENNEDY"
90000101	90	"PP_IS"	"PRIMARY PRODUCTION IS"	90000039	5	5			"M. KENNEDY"
90000102	90	"PP_IB"	"PRIMARY PRODUCTION IB"	90000039	5	5			"M. KENNEDY"
90000103	90	"PP_IM"	"PRIMARY PRODUCTION IM"	90000039	5	5			"M. KENNEDY"
90000104	90	"PP_TS"	"PRIMARY PRODUCTION TS SAMPLE TEMPERATURE"	90000038	5	5			"M. KENNEDY"
90000105	90	"Oil in surf layer"	"Dissolved/dispersed oil in the surface microlayer"	90000019	4	3	0	2000	"BIOCHEM"
90000110	90	"Oil - tarballs"	"Particulate petroleum residues (tarballs)"	90000033	4	5	0	9999	"BIOCHEM"
90000113	20	"conductivity_CTD"	"conductivity from CTD in Siemens per meter"	90000037	2	3	0	10	"MARY"
90000114	20	"Rosette trip #"	"gives firing order of bottles on CTD rosette"	90000000	2	0	0	25	"MARY"
90000115	20	"CTD_ scan #"	"can link to scan number on UP trace of ODF file"	90000000	6	0	0	999999	"MARY"
90000116	20	"Rosette position #"	"position of bottle in rosette -- useful when looking for ""leakers"""	90000000	2	0	0	36	"MARY"
90000117	90	"PP_INC"	"Primary Production INC"	90000038	2	2	0	99	"BIOCHEM"
90000118	20	"PP_TI"	"PRIMARY PRODUCTION TS SAMPLE TEMPERATURE"	90000005	5	5			"MARY"
90000120	20	"Carbonate alkalinity"	"Carbonate alkalinity"	90000021	4	3	0	9999	"BCMESD"
90000121	90	"secchi_depth"	"secchi"	90000023	3	2	0.01	999.99	"MARY"
90000122	20	"Pb - unfiltered"	"Lead - unfiltered"	90000019	2	3	0	0.5	"R. Benjamin"
90000140	20	"PrimProd_InSitu_Hr"	"Primary production determined using 14C uptake and rate calculated per hour"	90000041	3	3	0	100	"BCPIERRE"
90000124	20	"delete"	"delete - entered type twice"	90000022	4	3	0	4000	"MARY"
90000125	20	"Leucine Incorp."	"Leucine Incorporation"	90000042	4	3	0.001	999.999	"MARY"
90000126	20	"Bacterial Prod."	"Bacterial Production BODC - BPRD"	90000041	2	4	0.0001	99.9999	"MARY"
90000127	90	"Diss. Organic Carbon"	"Dissolved Organic Carbon = CORG DX from MEDS Parm List"	90000020	5	2	0	1000	"BCPIERRE"
90000000	20	"Not Applicable"	"Used when not a reteivable parameter"	90000000	0	0	0	2459	"BCPIERRE"
90000132	20	"Fluorescence in Volt"	"In situ Fluorecsence by fluorometer in volts"	90000048	3	4	0	30	"BCPIERRE"
90000133	20	"Light Tansmittance"	"Percent light transmission measured by Transmisometer or other device"	90000001	3	2	0	100	"BCPIERRE"
90000135	20	"Chlorophyll B"	"Chlorophyll B"	90000019	3	4	0	10	"BCPIERRE"
90000136	20	"Chlorophyll C"	"Chlorophyll C"	90000019	3	4	0	15	"BCPIERRE"
90000137	30	"Density"	"Density"	90000044	3	3	-0.2	40	"DEVINEL"
90000138	20	"Calorimetry"	"Calories measured using a Bomb Calorimeter?"	90000053	6	3	0	999999.999	"BCPIERRE"
90000139	30	"Dry Weight Biomass"	"Dry weight biomass"	90000019	6	4	0	999999.9999	"ISABELLE"
90000143	20	"ATP"	"Biomass estimator using ATP activity"	90000019	2	6	0	8	"DEVINEL"
90000148	90	"Nucleic acid - RNA"	"Ribonucleic acid (RNA); biochemical indicator of microplankton biomass"	90000019	3	1	0	26	"KennedyM"
90000149	90	"Protein"	"Protein; biochemical indicator of microplankton biomass"	90000019	3	1	0	700	"KennedyM"
90000150	90	"Nucleic acid - DNA"	"Deoxyribonucleic acid (DNA); biochemical indicator of microplankton biomass"	90000019	3	1	0	25	"KennedyM"
90000151	90	"NO3Uptake_SIS_hr"	"Nitrogen (nitrate) uptake rate measurements from SIS experiments (units = per hour)"	90000056	4	2	0	2000	"KennedyM"
90000152	90	"NO3Uptake_SIS_day"	"Nitrogen (nitrate) uptake rate measurements from SIS experiments (units = per day)"	90000055	4	2	0	2000	"KennedyM"
90000153	90	"NH3Uptake_SIS_hr"	"Nitrogen (Ammonia) uptake rate measurements ifrom SIS experiments (units = per hour)"	90000056	4	2	0	2000	"KennedyM"
90000154	90	"NH3Uptake_SIS_day"	"Nitrogen (Ammonia) uptake rate measurements from SIS experiments (units = per day)"	90000055	4	2	0	2000	"KennedyM"
90000155	90	"UreaUptake_SIS_hr"	"not to be used yet Mary to update this week"	90000056	4	2	0	2000	"KennedyM"
90000156	90	"UreaUptake_SIS_day"	"not to be used yet Mary to update this week"	90000055	4	2	0	2000	"KennedyM"
90000159	30	"PrimProd_SIS_Hr"	"Primary production determined using 14C uptake, simulated insitu incubation, rate calculated per hr"	90000041	3	3	0	100	"DEVINEL"
90000160	90	"HPLC_ACAROT"	"alpha-carotene"	90000019	2	3	0	64	"KennedyM"
90000161	90	"HPLC_ALLOX"	"alloxanthin"	90000019	2	3	0	64	"KennedyM"
90000162	90	"HPLC_ASTAX"	"astaxanthin"	90000019	2	3	0	64	"KennedyM"
90000163	90	"HPLC_BCAROT"	"beta-carotene"	90000019	2	3	0	64	"KennedyM"
90000164	90	"HPLC_BUT19"	"19-butanoyl-oxy-fucoxanthin"	90000019	2	3	0	64	"KennedyM"
90000165	90	"HPLC_BUTLIKE"	"hplc pigment similar to but19"	90000019	2	3	0	64	"KennedyM"
90000166	90	"HPLC_CHLA"	"hplc chlorophyll a (includes chlorophyllide a+)"	90000019	2	3	0	64	"KennedyM"
90000167	90	"HPLC_CHLB"	"chlorophyll-b (includes dv-chlb if any present)"	90000019	2	3	0	64	"KennedyM"
90000168	90	"HPLC_CHLC12"	"chlorophyll - c1+c2"	90000019	2	3	0	64	"KennedyM"
90000169	90	"HPLC_CHLIDEA"	"chlorophyllide-a"	90000019	2	3	0	64	"KennedyM"
90000170	90	"HPLC_DIADINOX"	"diadinoxanthin"	90000019	2	3	0	64	"KennedyM"
90000171	90	"HPLC_DIATOX"	"diatoxanthin"	90000019	2	3	0	64	"KennedyM"
