Seq | Data_Center_Code | Data_Retrieval_Name | Data_Retrieval_Seq | Analysis_Name | Analysis_Seq | Preservation_Name | Preservation_Seq | Sample_Handling_Name | Sample_Handling_Seq | Storage_Name | Storage_Seq | Unit_Name | Unit_Seq | Description | Conversion_Equation | Originally_Entered_By | Method | Priority | P_Code
90000099 | 90 | % Sfc light | 90000090 | not assigned | 90000002 | not applicable | 90000001 | not applicable | 90000001 | not applicable | 90000001 | % | 90000001 | Light / % surface light remaining at sampled depth |  | BCMESD | Percent_SurfaceLight | 1 | 
90000057 | 90 | Acidified calcium | 90000049 | not assigned | 90000002 | not assigned | 90000002 | not assigned | 90000002 | not assigned | 90000002 | umole/kg | 90000021 | Calcium - acidified |  | BCMESD | Ca_Acidified | 1 | ACA$
90000379 | 20 | Ag | 90000275 | TraceMetal_A14 | 90000102 | TraceMetal_P1 | 90000053 | TraceMetal_C18 | 90000034 | TraceMetal_S1 | 90000018 | mg/m3 | 90000019 | Ag-filteredC18P1S1A14 |  | BCPIERRE | Ag-filtered | 1 | 
90000380 | 20 | Ag-particulate | 90000235 | TraceMetal_A5 | 90000093 | TraceMetal_P2 | 90000054 | TraceMetal_C18 | 90000034 | TraceMetal_S2 | 90000019 | g/kg | 90000027 | Ag-particulateC18P2S2A5 |  | BCPIERRE | Ag-particulate1 | 1 | 
90000381 | 20 | Ag-particulate | 90000235 | TraceMetal_A5 | 90000093 | TraceMetal_P2 | 90000054 | TraceMetal_C3 | 90000019 | TraceMetal_S2 | 90000019 | g/kg | 90000027 | Ag-particulateC3P2S2A5 | /1000 | BCPIERRE | Ag-particulate2 | 1 | 
90000382 | 20 | Ag-particulate | 90000235 | TraceMetal_A5 | 90000093 | TraceMetal_P2 | 90000054 | TraceMetal_C7 | 90000023 | TraceMetal_S2 | 90000019 | g/kg | 90000027 | Ag-particulateC7P2S2A5 | /1000 | BCPIERRE | Ag-particulate3 | 1 | 
90000664 | 20 | Ag-particulate | 90000235 | TraceMetal_A3 | 90000091 | TraceMetal_P5 | 90000057 | TraceMetal_C16 | 90000032 | cool (5) and in dim light | 90000015 | ug/g | 90000018 | Ag-particulateC1P2S2A5 |   | BCPIERRE | Ag-particulate3 | 1 | 
90000928 | 20 | Ag-Sediment | 90000308 | TraceMetal_A21 | 90000121 | TraceMetal_P8 | 90000064 | TraceMetal_C19 | 90000038 | TraceMetal_S6 | 90000024 | ug/g | 90000018 | Ag-SedimentC19P8S6A21 |  | BCPIERRE | Ag-Sediment | 1 | 
90000930 | 20 | Ag-Sediment | 90000308 | TraceMetal_A21 | 90000121 | TraceMetal_P8 | 90000064 | TraceMetal_C20 | 90000040 | TraceMetal_S6 | 90000024 | ug/g | 90000018 | Ag-SedimentC20P8S6A21 |  | BCPIERRE | Ag-Sediment1 | 1 | 
90000383 | 20 | Al | 90000252 | TraceMetal_A14 | 90000102 | TraceMetal_P1 | 90000053 | TraceMetal_C18 | 90000034 | TraceMetal_S1 | 90000018 | mg/m3 | 90000019 | Al-filteredC18P1S1A14 |  | BCPIERRE | Al-filtered | 1 | 
90000055 | 90 | Al - filtered | 90000047 | not assigned | 90000002 | not assigned | 90000002 | not assigned | 90000002 | not assigned | 90000002 | mg/m3 | 90000019 | Aluminium / Filtered |  | BCMESD | Al_Filtered | 1 | ALF$
90000047 | 90 | Al - unfiltered | 90000039 | not assigned | 90000002 | not assigned | 90000002 | not assigned | 90000002 | not assigned | 90000002 | mg/m3 | 90000019 | Aluminium / Unfiltered |  | BCMESD | Al_Unfiltered | 1 | ALT$
90000389 | 20 | Al-particulate | 90000242 | TraceMetal_A5 | 90000093 | TraceMetal_P2 | 90000054 | TraceMetal_C7 | 90000023 | TraceMetal_S2 | 90000019 | g/kg | 90000027 | Al-particulateC7P2S2A5 | /1000 | BCPIERRE | Al-particulate6 | 1 | 
90000388 | 20 | Al-particulate | 90000242 | TraceMetal_A5 | 90000093 | TraceMetal_P2 | 90000054 | TraceMetal_C6 | 90000022 | TraceMetal_S2 | 90000019 | g/kg | 90000027 | Al-particulateC6P2S2A5 | /1000 | BCPIERRE | Al-particulate5 | 1 | 
90000387 | 20 | Al-particulate | 90000242 | TraceMetal_A5 | 90000093 | TraceMetal_P2 | 90000054 | TraceMetal_C3 | 90000019 | TraceMetal_S2 | 90000019 | g/kg | 90000027 | Al-particulateC3P2S2A5 | /1000 | BCPIERRE | Al-particulate4 | 1 | 
