Seq|Data_Center_Code|Type|Model|Size|Description
90000059|90|Acoustic|Norman||
90000060|90|Acoustic|RDI||ADCP
90000029|90|Animal specimen|Bird||Bird
90000055|90|Animal specimen|Fish||Fish
90000061|90|Batfish|Batfish||
90000027|90|Benthic sampler|Benthic sampler|unknown|Benthic sampler, unspecified
90000056|90|Bottle|'Fat Albert'||Custom water bottle, designed to be short in vertical dimension.  Sealing of end caps was never completely satisfactory
90000016|90|Bottle|Blumer 100L|100 liter|Blumer bottle, 100 L
90000057|90|Bottle|BOT 8L|8 liter|Custom bottle, similar to niskin, used latex springs and other non-contaminating materials, made by Brooke Ocean Technology (BOT) based on a design by. J.-G. Dessureault.  Some problems experienced with bottles leaking
90000033|90|Bottle|Glass bulb||Glass bulb
90000020|90|Bottle|Go-Flo|unknown|Go-Flo bottle, size unknown
90000017|90|Bottle|Go-Flo 100L|100 liter|Go-Flo bottle, 100 L
90000012|90|Bottle|Go-Flo 12L|12 liter|Go-Flo bottle, 12 L
90000013|90|Bottle|Go-Flo 30L|30 liter|Go-Flo bottle, 30 L
90000011|90|Bottle|Go-Flo 5L|5 liter|Go-Flo bottle, 5 L
90000139|90|Bottle|Hopper 500L|500 L|500 L hopper filled from multiple 100 L bottles
90000062|90|Bottle|Knudsen|unknown|
90000010|90|Bottle|Knudsen 1L|1 liter|Knudsen bottle, 1 L
90000014|90|Bottle|Lever Action 5L|5 liter|Lever action bottle, 5 L
90000026|90|Bottle|Nansen|unknown|Nansen bottle, size unspecified
90000002|90|Bottle|Niskin|unknown|Niskin bottle, size unknown
90000004|90|Bottle|Niskin 1.2L|1.2 liter|Niskin bottle, 1.2 L
90000018|90|Bottle|Niskin 1.5L|1.5 liter|Niskin bottle, 1.5 L
90000005|90|Bottle|Niskin 1.7L|1.7 liter|Niskin bottle, 1.7 L
90000009|90|Bottle|Niskin 100L|100 liter|Niskin bottle, 100 L
90000019|90|Bottle|Niskin 10L|10 liter|Niskin bottle, 10 L
90000007|90|Bottle|Niskin 12L|12 liter|Niskin bottle, 12 L
90000003|90|Bottle|Niskin 1L|1 liter|Niskin bottle, 1 L
90000008|90|Bottle|Niskin 30L|30 liter|Niskin bottle, 30 L
90000006|90|Bottle|Niskin 5L|5 liter|Niskin bottle, 5 L
90000022|90|Bottle|Niskin 8L|8 liter|Niskin bottle, 8 L
90000126|90|Bottle|Russian 4L|4 liter|Russian design, 4 L
90000058|90|Bottle|SIO 10L|10 liter|Custom bottle, designed by Scripps Institution of Oceanography
90000021|90|Bottle|Trace Element 12L|12 liter|Trace element bottle, 12 L, modified Niskin bottle: silicone O-rings, spring replaced with teflon tubing sheathed shocked cord
90000001|90|Bottle|unspecified|unknown|Bottle, size and type not known
90000192|20|Bottle|Van Dorn|unknown|Van Dorn bottle
90000031|90|Bubbler|||Bubbler, type unknown
90000032|90|Bucket|bucket||Bucket, size and material unknown
90000025|90|Corer|Box corer|unknown|Box corer, size unspecified
90000156|90|Corer|corer|unknown|Corer, type and size unknown
90000141|90|Corer|Hand-held corer|unknown|Hand-held corer, size unspecified
90000039|90|Corer|Lehigh corer||Lehigh corer
90000212|20|Corer|Piston corer||Information to be updated
90000211|20|Corer|ROPOS||ROPOS ROV plastic tube deployed http://oceanexplorer.noaa.gov/technology/subs/ropos/media/core_sediment.html
90000054|90|Corer|Sediment corer||Sediment corer, type unspecified
90000209|20|Corer|Slo-corer||Bothner, M.H., M. Buchholtz ten Brink and F.T. Manheim. 1998. Environmental Research 45(2):127-155 http://www.dfo-mpo.gc.ca/aquaculture/rd2009/rdmisc-divers_04-eng.htm
90000200|20|CTD|Applied Microsystems 12||Applied Microsystems model 12
90000063|90|CTD|AquaShuttle||ctd 7 fluorescence
90000173|20|CTD|bathythermograph||bathythermograph (BT)
90000064|90|CTD|GUILDLINE CTD||Guildline
90000194|20|CTD|GUILDLINE CTD Mark IV||Guildline Mark IV CTD
90000068|90|CTD|MVP/CTD||moving vessel profiler designed by Bedford Institute of Oceanography (BIO) and Brooks Engineering
90000067|90|CTD|SBE 19||SeaBird Electronics model 19
90000066|90|CTD|SBE 25||SeaBird Electronics model 25
90000065|90|CTD|SBE 911||SeaBird Electronics model 911
90000069|90|CTD|XBT||Expendable bathythermograph
90000215|30|CTD + bottles|unspecified|unspecified|CTD + Niskin bottles on a wire, not rosette
90000171|30|CTD + rosette|multiple||CTD and rosette bottle sampler: CTD model, sensors & other details to be specified in comment section
90000169|20|CTD+auxilliary sensor|SBE19+SeaTech transmissometer||SBE19+ transmissometer
90000167|20|CTD+auxilliary sensor|SBE19+Wetlabs fluorometer||SBE19+Wetlabs WETStar miniature fluorometer
90000170|20|CTD+auxilliary sensor|SBE911+fluorometer+oxygen sensor||SBE911+Wetlabs WETStar miniature fluorometer+SBE43 oxygen probe
90000168|20|CTD+auxilliary sensor|SBE911+Wetlabs fluorometer||SBE911+Wetlabs WETStar miniature fluorometer
90000053|90|Dredge|Sediment dredge||Sediment dredge, type unspecified
90000070|90|Experiment|in situ||
90000160|90|Experiment|PI experiment||Primary production and light experiment
90000146|90|Filter|Glass fibre|coarse|Whatman GFC filter
90000145|90|Filter|Glass fibre|fine|Whatman GFF filter
90000147|90|Filter|Glass fibre||Glass fibre filter, mesh size unspecified
90000154|90|Filter|Millipore|8 um|Millipore filter, 8 um pore size
90000142|90|Filter|Millipore 0.8um|0.8 um|Millipore filter, 0.8 um pore size
90000143|90|Filter|Nuclepore 0.8um|0.8 um|Nuclepore filter, 0.8 um pore size
90000144|90|Filter|Nuclepore 12um|12 um|Nuclepore filter, 12 um pore size
90000149|90|Filter|Silver||Silver filter, size unspecified
90000148|90|Filter|Silver 0.8 um|0.8 um|Silver filter, 0.8 um pore size
90000155|90|Filter|Stainless steel screen|unknown|Stainless steel screen, mesh size unknown
90000137|90|Grab|Ekman|unknown|Ekman grab, size unspecified
90000030|90|Grab|Grab|unknown|Grab, type and size unspecified
90000138|90|Grab|Shipek|unknown|Shipek grab, size unspecified
90000048|90|Grab|Van Veen|unknown|Van Veen grab, size unspecified
90000024|90|Ice|Auger||
90000038|90|Ice|Chips||Ice chips
90000199|20|Ice|Ice corer|7.5cm|SIPRE ice auger
90000052|90|Ice|Ice corer||Ice corer, type unspecified
90000071|90|Ice|Ice corer||SIPRE ice auger
90000050|90|Ice|Ice sampler||Ice sampler, type unspecified
90000034|90|Ice|Ice, from bottom of floe||Ice, from bottom of floe
90000035|90|Ice|Ice, from middle of floe||Ice, from middle of floe
90000036|90|Ice|Ice, from top of floe||Ice, from top of floe
90000046|90|Ice, snow|Shovel||Shovel
90000072|90|Light|BUD||BUD (Biological Up Down)
90000073|90|Light|light meter||
90000074|90|Light|MER2040||MER2040
90000075|90|Light|MILD||son of BUD (Biological Up Down)
90000196|20|Light|Pyranometer - Eppley||Eppley 50-junction pyranometer
90000077|90|Net|20x20 Soviet Pelagic Trawl|20 x 20|
90000198|20|Net|Apstein net 0.2m|0.2 m|0.2m diameter Apstein net (for image see http://commons.wikimedia.org/wiki/Image:Biological_sampling_device_of_Apstein_net.jpg)
90000205|20|Net|Benthos multiple plankton sampler|modified|modified Benthos multiple plankton sampler
90000182|20|Net|BIONESS 0.25m|0.25m|
90000092|90|Net|BIONESS 0.5m|0.5 m|Bioness with 0.5m frame, common name is Mininess
