Seq | Data_Center_Code | Name | Description | Molt_Number
90000008 | 90 | actinula | hydrozoa | 
90000009 | 90 | adult | all | 
90000010 | 90 | adult developing female |  | 
90000160 | 20 | ADULT F BEARING SPERMATOPHORES | female bearing carrying attached spermatophore(s), eg copepods | 
90000011 | 90 | adult gravid female |  | 
90000012 | 90 | adult spent female |  | 
90000124 | 90 | adults, juveniles and eggs |  | 
90000013 | 90 | aggregate |  | 
90000007 | 90 | all stages excluding eggs |  | 
90000014 | 90 | antizoel |  | 
90000015 | 90 | auricularia | holothuroidea,doliolaria | 
90000016 | 90 | bipinnaria | echinoderm | 
90000017 | 90 | blastozooid |  | 
90000018 | 90 | brachiolaria | echinoderm | 
90000019 | 90 | bracts | jelly | 
90000020 | 90 | calyptopis | euphausiid | 
90000021 | 90 | calyptopis and furcilia | euphausiid | 
90000022 | 90 | chain |  | 
90000024 | 90 | colony | hydrozoa,ascidian | 
90000254 | 20 | copepodite | copepod - copepodite_III-VI | III-VI
90000037 | 90 | copepodite | copepod - copepodite_I-V | I-V
90000228 | 20 | copepodite | copepod - copepodite_VI_gravid female, stage 4=high maturation | VI GRAVID (STAGE4)
90000227 | 20 | copepodite | copepod - copepodite_VI_gravid female, stage 3=moderate maturation | VI GRAVID (STAGE3)
90000226 | 20 | copepodite | copepod - copepodite_VI_gravid female, stage 2=low maturation | VI GRAVID (STAGE2)
90000225 | 20 | copepodite | copepod - copepodite_VI_gravid female, stage 1=immature | VI GRAVID (STAGE1)
90000025 | 90 | copepodite | copepod - copepodite_I | I
90000026 | 90 | copepodite | copepod - copepodite_II | II
90000027 | 90 | copepodite | copepod - copepodite_III | III
90000028 | 90 | copepodite | copepod - copepodite_IV | IV
90000029 | 90 | copepodite | copepod - copepodite_V | V 
90000030 | 90 | copepodite | copepod - copepodite_VI | VI
90000031 | 90 | copepodite | copepod - copepodite_VI_devel | VI DEVELOPING
90000032 | 90 | copepodite | copepod - copepodite_VI_gravid | VI GRAVID
90000033 | 90 | copepodite | copepod - copepodite_VI_spent | VI SPENT
90000034 | 90 | copepodite | copepod - copepodite_I-II | I-II
90000035 | 90 | copepodite | copepod - copepodite_I-III | I-III
90000036 | 90 | copepodite | copepod - copepodite_I-IV | I-IV
90000229 | 20 | copepodite | copepod - copepodite_VI_gravid female, stage 5=decreased maturation | VI GRAVID (STAGE5)
90000038 | 90 | copepodite | copepod - copepodite_II-III | II-III
90000039 | 90 | copepodite | copepod - copepodite_II-IV | II-IV
90000040 | 90 | copepodite | copepod - copepodite_II-V | II-V
90000041 | 90 | copepodite | copepod - copepodite_III-IV | III-IV
90000042 | 90 | copepodite | copepod - copepodite_III-V | III-V
90000043 | 90 | copepodite | copepod - copepodite_IV-V | IV-V
90000044 | 90 | copepodite | copepod - copepodite_IV-VI | IV-VI
90000045 | 90 | copepodite | copepod - copepodite_V-VI | V-VI
90000046 | 90 | copepodite | copepod | 
