BGC_Code | Data_Center_Code | Name | NODC_Lower | NODC_Upper
9000002 | 20 | Animalia | 0 | 1
9000006 | 20 | Bacteria | 0 | 999
9000007 | 20 | Chromista | 0 | 999
5000000 | 90 | ICHTHYOPLANKTON | 8600 | 8899
1000000 | 90 | MONERA | 200 | 299
1990000 | 90 | MONERA:BACTERIA | 200 | 299
1010000 | 90 | MONERA:CYANOPHYTA | 300 | 399
1 | 90 | NON-LIVING | 0 | 0
6000000 | 90 | OTHER | 8900 | 9999
2000000 | 90 | PLANTAE | 400 | 1499
9000003 | 20 | Plantae | 0 | 999
2010000 | 90 | PLANTAE:EUKARYOTIC PHYTO:DIATOMS | 700 | 799
2020000 | 90 | PLANTAE:EUKARYOTIC PHYTO:DINOFLAGELLATES | 1200 | 1299
9000005 | 20 | Protozoa | 0 | 999
3000000 | 90 | PROTOZOOPLANKTON | 3400 | 3599
3060000 | 90 | PROTOZOOPLANKTON:CILIATES | 3500 | 3599
3010000 | 90 | PROTOZOOPLANKTON:FLAGELLATES | 3400 | 3499
3020000 | 90 | PROTOZOOPLANKTON:SARCODINA:AMEBAS | 3441 | 3441
3030000 | 90 | PROTOZOOPLANKTON:SARCODINA:FORAMINIFERA | 3448 | 3448
3040000 | 90 | PROTOZOOPLANKTON:SARCODINA:HELIOZOANS | 3473 | 3473
3050000 | 90 | PROTOZOOPLANKTON:SARCODINA:RADIOLARIANS | 3465 | 3465
9999999 | 90 | TO BE ASSIGNED | -9999 | -1
2 | 90 | VIRUS | 100 | 199
4240000 | 90 | ZOO:ANNELIDA | 5000 | 5099
4310000 | 90 | ZOO:CHAETOGNATHA | 8300 | 8399
4030000 | 90 | ZOO:CNIDARIA | 3700 | 3799
4280000 | 90 | ZOO:CRUSTACEANS | 6100 | 6199
4287000 | 90 | ZOO:CRUSTACEANS:AMPHIPODA | 6168 | 6171
4283000 | 90 | ZOO:CRUSTACEANS:CIRRIPEDIA | 6130 | 6130
4282000 | 90 | ZOO:CRUSTACEANS:COPEPODA | 6117 | 6123
4289000 | 90 | ZOO:CRUSTACEANS:DECAPODA | 6175 | 6189
4288000 | 90 | ZOO:CRUSTACEANS:EUPHAUSIACEA | 6174 | 6174
4286000 | 90 | ZOO:CRUSTACEANS:ISOPODA | 6158 | 6167
4284000 | 90 | ZOO:CRUSTACEANS:MYSIDACEA | 6151 | 6151
4281000 | 90 | ZOO:CRUSTACEANS:OSTRACODA | 6110 | 6110
4040000 | 90 | ZOO:CTENOPHORA | 3800 | 3899
4300000 | 90 | ZOO:ECHINODERMATA | 8100 | 8199
4200000 | 90 | ZOO:MOLLUSCA | 5100 | 5799
4205000 | 90 | ZOO:MOLLUSCA:BIVALVIA | 5500 | 5599
4207500 | 90 | ZOO:MOLLUSCA:CEPHALOPODA | 5700 | 5799
4202500 | 90 | ZOO:MOLLUSCA:GASTROPODA | 5100 | 5199
4206000 | 90 | ZOO:MOLLUSCA:SCAPHOPODA | 5600 | 5699
4100000 | 90 | ZOO:ROTIFERA | 4500 | 4599
4330000 | 90 | ZOO:TUNICATES | 8400 | 8599
4000000 | 90 | ZOO:ZOOPLANKTON | 3600 | 8599
