Seq | Data_Center_Code | Name | TSN | Authority | Best_NODC7 | Collectors_Comment | Data_Managers_Comment | Short_Name | TSN_ITIS | APHIAID
90000000003805 | 20 | Abraliopsis | 82398 | Joubin, 1896 | 5707020100 |  | IOS2006 |  | 82398 | 137931 
90000000004299 | 20 | Abraliopsis falco | 82403 | YOUNG, 1972 | 5707020100 |  | IOS1 |  | 82403 | 341848 
90000000004300 | 20 | Abraliopsis felis | 82401 | MCGOWAN AND OKUTANI, 1968 | 5707020100 |  | IOS1 |  | 82401 | 341849 
90000000001667 | 90 | Abudefduf saxatilis | 170046 | (LINNAEUS, 1758) | 8835620101 |  | SSIP | ABU | 170046 | 159288 
90000000000598 | 90 | Abylidae | 51362 |  | 3716050000 |  | KENNEDY 83006 | ABY | 51362 | 135336 
90000000000459 | 90 | Abylopsis | 51369 |  | 3716050300 |  | KENNEDY 79006 | ABY | 51369 | 135352 
90000000000632 | 90 | Abylopsis tetragona | 51370 | (OTTO, 1823) | 3716050301 |  | CHECK NODC | ABY | 51370 | 135403 
90000000001276 | 90 | Acantharia | 46107 |  | 3470000000 |  | IOSdata | ACA | 46107 | 586732 
90000000000249 | 90 | Acanthephyra | 96113 | MILNE-EDWARDS, 1881 | 6179010200 |  | KENNEDY 83023 | ACANTH | 96113 | 107018 
90000000000716 | 90 | Acanthephyra pelagica | 96115 | (RISSO, 1816) | 6179010200 |  | KENNEDY 78015 | ACAPEL | 96115 | 107581 
90000000002399 | 90 | Acanthephyra purpurea | 96114 | A. MILNE-EDWARDS, 1881 | 6179010200 |  | KENNEDY 2000009 | ACANPUR | 96114 | 107582 
90000000003945 | 90 | Acanthocorbis apoda | -70001 | (Leadbeater, 1972) Hara and Takahashi, 1984 | 340000000 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 307  reference book Scientific Authority = (Leadbeater, 1972) Hara et Takahashi, 1984 | IML_PHYTO_Feb2007 |  | NaN | 105542 
90000000003946 | 90 | Acanthocorbis campanula | -70002 | (Espeland, 1986) Thomsen in Thomsen, Buckand Chave | 340000000 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 308  reference book Scientific Authority = (Espeland, 1986) Thomsen in Thomsen, Buck et Chavez, 1991 | IML_PHYTO_Feb2007 |  | NaN | 105544 
90000000003947 | 90 | Acanthocorbis unguiculata | -70003 | (Thomsen, 1973) Hara and Takahashi, 1984 | 340000000 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 308  reference book Scientific Authority = (Thomsen, 1973) Hara et Takahashi, 1984 | IML_PHYTO_Feb2007 |  | NaN | 105546 
90000000000897 | 90 | Acanthocybium solandri | 172451 |  | 8850030601 |  |  | ACA | 172451 | 127014 
90000000005828 | 20 | Acanthocyclops vernalis | 88770 |  | 1 |  |  |  | 88770 | NaN 
90000000003888 | 90 | Acanthocystis turfacea | 46130 | Cart. | 34750101 |  | IML_2007_PHYTO |  | 46130 | 341765 
90000000004780 | 20 | Acanthoica acanthifera | 2188 |  | 603040101 |  | Gran and Braarud 1935- BOF/GOM |  | 2188 | 115101 
90000000003949 | 90 | Acanthoica quattrospina | 2190 |  | 603040103 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 268  reference book Scientific Authority = Lohmann 1903 | IML_PHYTO_Feb2007 |  | 2190 | 235802 
90000000001277 | 90 | Acanthomysis | 89857 | Czerniavsky, 1882 | 6153010100 | Kathman et al Fish & Aquat Sci 93 1986 | IOSdata; (MODIFIED:  june2007- added authority and reference) | ACA | 89857 | 119831 
90000000001107 | 90 | Acanthomysis pseudomacropsis | 89867 |  | 6151000000 |  | MK_July2002_added NODC for mysid; !see Acanthomysis pseudomacropsis | XEN | 89867 | 226852 
90000000005308 | 20 | Acanthopsetta | 615949 | Schmidt, 1904 | 9 |  | IOS_March2010 |  | 615949 | 268195 
90000000003875 | 20 | Acanthopterygii | 166082 |  | 8717000000 |  | GROUP NAME |  | 166082 | 10194 
90000000000760 | 90 | Acanthoscina | 95318 |  | 6170150200 | *no authority in ITIS | KENNEDY 87022 | ACA | 95318 | 101809 
90000000003037 | 90 | Acanthostepheia | 94490 | Boeck, 1871 | 6169370100 | nfld authority field blank;  SFG | NFLD_longlist |  | 94490 | 101686 
90000000002766 | 90 | Acanthostepheia malmgreni | 94492 | (Goes, 1866)                                  | 6169370100 | SFG | NFLD_longlist |  | 94492 | 102864 
90000000002677 | 90 | Acanthostomella | 46771 |  | 3501000000 |  | AZMP_2003_Shediac |  | 46771 | 183555 
90000000004105 | 90 | Acanthostomella gracilis | 46772 | Brandt 1896 | 3540140100 | Marshall, S.M. 1969. sheet 122 p3 | IML_phyto_April2007 |  | 46772 | 183575 
90000000004524 | 20 | Acanthostomella gracilis/A. norvegica | -6936 |  | 3540140100 |  | Madhu_BB1 |  | 46771 | 183555 
90000000003950 | 90 | Acanthostomella norvegica | 46773 |  | 3540140100 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 325  reference book Scientific Authority = Daday, 1887 | IML_PHYTO_Feb2007 |  | 46773 | 183556 
90000000001668 | 90 | Acanthurus | 172251 |  | 8849010100 |  | SSIP | ACA | 172251 | 125908 
90000000001278 | 90 | Acarina | 82754 |  | 5922000000 |  | KENNEDY 2002 669 | ACA | 82754 | 1349 
90000000000054 | 90 | Acartia | 86084 | DANA, 1846 | 6118290100 | ROSE  BRODSKII WILSON OWRE&FOYO DAVIS | CPRdata IOSdata | ACARSP | 86084 | 104108 
90000000005576 | 20 | Acartia (Acartiura) longiremis | 0 |  | 6118290100 |  | ABS_1962 |  | NaN | 346037 
90000000001509 | 90 | Acartia amboinensis | -1901 |  | 6118290100 |  | CPR species list - no data | ACA | 86084 | 104108 
90000000000398 | 90 | Acartia bifilosa | 86095 | (GIESBRECHT, 1881) | 6118290111 | ROSE (no parentheses) & BRODSKII (no parenthesis) WILSON | KENNEDY 77007;IOSdata | ACABIF | 86095 | 104249 
90000000001098 | 90 | Acartia californiensis | 86094 | TRINAST, 1976 | 6118290100 |  | IOSdata | ACA | 86094 | 345921 
90000000000050 | 90 | Acartia clausi | 86085 | GIESBRECHT, 1889 | 6118290101 | ROSE  BRODSKII  DAVIS WILSON | IOSdata; KENNEDY 87022 | ACA | 86085 | 104251 
90000000000906 | 90 | Acartia clausi/Acartia danae | -6901 |  | 6118290100 |  | no data | ACA | 86084 | 104108 
90000000000051 | 90 | Acartia danae | 86086 | GIESBRECHT, 1889 | 6118290102 | ROSE WILSON OWRE&FOYO DAVIS (Giesbrecht, Mori, 1937) | CPRdata IOSdata; KENNEDY 76026 | ACADAN | 86086 | 346026 
