"DATA_TYPE_SEQ","DATA_CENTER_CODE","DATA_RETRIEVAL_SEQ","ANALYSIS_SEQ","PRESERVATION_SEQ","SAMPLE_HANDLING_SEQ","STORAGE_SEQ","UNIT_SEQ","DESCRIPTION","CONVERSION_EQUATION","ORIGINALLY_ENTERED_BY","METHOD","PRIORITY","P_CODE","BODC_CODE"
90000679,20,90000301,90000110,90000003,90000002,90000016,90000001,"percentage of females identified as GS4","","MARY","%GS4",0,"",""
90001105,30,90000006,90000122,90000049,90000011,90000014,90000021,"Total alkalinity in seawater, open-cell titration (PICES2007)","","DEVINEL","ALKW_01",1,"ALKW",""
90001131,30,90000006,90000122,90000049,90000011,90000014,90000021,"Total alkalinity in seawater, closed-cell titration (PICES2007)","","LAFLEURC","ALKW_02",1,"ALKW",""
90000078,90,90000069,90000002,90000002,90000002,90000002,90000021,"Apparent oxygen utilization (AOU)","","BCMESD","AOU",1,"AOU$",""
90001138,20,90000481,90000131,90000001,90000001,90000001,90000066,"Turbidity meter - Beam Attenuation - WET Labs C-Star","","BUGDENJ","ATBE",1,"",""
90000252,20,90000143,90000053,90000001,90000011,90000011,90000019,"Estimate of metabolic activity by chemoluminescence of Luciferine by Adenosine Triphosphate (ATP)","","BCPIERRE","ATP",1,"ATP ",""
90000928,20,90000308,90000121,90000064,90000038,90000024,90000018,"Ag-SedimentC19P8S6A21","","BCPIERRE","Ag-Sediment",1,"",""
90000930,20,90000308,90000121,90000064,90000040,90000024,90000018,"Ag-SedimentC20P8S6A21","","BCPIERRE","Ag-Sediment1",1,"",""
90000379,20,90000275,90000102,90000053,90000034,90000018,90000019,"Ag-filteredC18P1S1A14","","BCPIERRE","Ag-filtered",1,"",""
90000380,20,90000235,90000093,90000054,90000034,90000019,90000027,"Ag-particulateC18P2S2A5","","BCPIERRE","Ag-particulate1",1,"",""
90000381,20,90000235,90000093,90000054,90000019,90000019,90000027,"Ag-particulateC3P2S2A5","/1000","BCPIERRE","Ag-particulate2",1,"",""
90000382,20,90000235,90000093,90000054,90000023,90000019,90000027,"Ag-particulateC7P2S2A5","/1000","BCPIERRE","Ag-particulate3",1,"",""
90000664,20,90000235,90000091,90000057,90000032,90000015,90000018,"Ag-particulateC1P2S2A5"," ","BCPIERRE","Ag-particulate3",1,""," "
90000924,20,90000306,90000121,90000064,90000038,90000024,90000018,"Al-SedimentC19P8S6A21","","BCPIERRE","Al-Sediment",1,"",""
90000926,20,90000306,90000121,90000064,90000040,90000024,90000018,"Al-SedimentC20P8S6A21","","BCPIERRE","Al-Sediment1",1,"",""
90000383,20,90000252,90000102,90000053,90000034,90000018,90000019,"Al-filteredC18P1S1A14","","BCPIERRE","Al-filtered",1,"",""
90000384,20,90000242,90000093,90000054,90000026,90000019,90000027,"Al-particulateC10P2S2A5","/1000","BCPIERRE","Al-particulate1",1,"",""
90000385,20,90000242,90000093,90000054,90000034,90000019,90000027,"Al-particulateC18P2S2A5","/1000","BCPIERRE","Al-particulate2",1,"",""
90000386,20,90000242,90000093,90000054,90000017,90000019,90000027,"Al-particulateC1P2S2A5","/1000","BCPIERRE","Al-particulate3",1,"",""
90000387,20,90000242,90000093,90000054,90000019,90000019,90000027,"Al-particulateC3P2S2A5","/1000","BCPIERRE","Al-particulate4",1,"",""
90000388,20,90000242,90000093,90000054,90000022,90000019,90000027,"Al-particulateC6P2S2A5","/1000","BCPIERRE","Al-particulate5",1,"",""
90000389,20,90000242,90000093,90000054,90000023,90000019,90000027,"Al-particulateC7P2S2A5","/1000","BCPIERRE","Al-particulate6",1,"",""
90000055,90,90000047,90000002,90000002,90000002,90000002,90000019,"Aluminium / Filtered","","BCMESD","Al_Filtered",1,"ALF$",""
90000047,90,90000039,90000002,90000002,90000002,90000002,90000019,"Aluminium / Unfiltered","","BCMESD","Al_Unfiltered",1,"ALT$",""
90000103,90,90000006,90000002,90000002,90000002,90000002,90000020,"Alkalinity","","BCMESD","Alkalinity",1,"",""
90000348,20,90000006,90000076,90000002,90000002,90000002,90000020,"Alkalinity determined using potentiometric titration method","","MARY","Alkalinity_3",1,"",""
90000247,20,90000006,90000050,90000002,90000002,90000002,90000020,"Alkalinity determined using Strickland and Parsons (1972) method","","BCPIERRE","Alkalinity_SP",1,"ALKY",""
90000323,20,90000006,90000066,90000003,90000007,90000001,90000021,"Alkalinity umol / kg (Not Poisoned); analysis method from DOE handbook of Methods","","MARY","Alkalinity_perkg_NP",1,"",""
90000325,20,90000006,90000066,90000049,90000007,90000014,90000021,"Alkalinity umol / kg (Poisoned); analysis method from DOE handbook of Methods","","MARY","Alkalinity_perkg_P",1,"",""
90000012,90,90000006,90000002,90000002,90000002,90000002,90000021,"Alkalinity / umol/kg","Concentration (umol / kg) = concentration (umoles/litre) / density (10 C,S)","BCMESD","Alkalinity_umol/kg",2,"ALKY",""
